name,category,status,flags,serving_label,serving_grams,calories,protein_g,carbs_g,fat_g,fibre_g,sodium_mg,sugar_g,confidence
Smashed avocado on toast,Australian breakfast & brunch,succeeded,,"1 serve (2 slices toast with avocado, ~250g)",250,430,12,40,25,8,520,4,medium
Avocado on toast,Australian breakfast & brunch,succeeded,,"1 serve (2 slices sourdough with avocado, ~250g)",250,420,12,40,24,8,480,3.5,medium
Bacon and eggs,Australian breakfast & brunch,succeeded,,"1 serve (2 eggs, 3 rashers bacon, ~250g)",250,430,30.5,1.5,33,0,980,0.5,medium
Big breakfast,Australian breakfast & brunch,succeeded,LOW_CONFIDENCE,1 serve (~500g),500,850,38,55,53,5,1800,8,low
Eggs benedict,Australian breakfast & brunch,succeeded,,"1 serve (2 eggs on English muffins with hollandaise, ~280g)",280,620,24,30,45,2,1100,3,medium
Poached eggs on toast,Australian breakfast & brunch,succeeded,,2 eggs on 2 slices of toast (~220g),220,400,20,36,19,3.5,620,3.5,high
Scrambled eggs on toast,Australian breakfast & brunch,succeeded,,2 eggs on 2 slices toast (~220g),220,420,20.5,32,23.5,2.5,620,3.5,medium
French toast,Australian breakfast & brunch,succeeded,,2 slices (~150g) with butter and syrup,150,380,10.5,48,16,1.8,420,22,medium
Pancakes with maple syrup,Australian breakfast & brunch,succeeded,,3 pancakes with syrup (~220g),220,520,9.5,84,16,2,620,40,medium
Bircher muesli,Australian breakfast & brunch,succeeded,,1 serve (~300g),300,380,10.5,52,13.5,6.5,90,28,medium
Muesli with yoghurt,Australian breakfast & brunch,succeeded,,1 bowl (~60g muesli + 150g yoghurt),210,320,11.5,42,10.5,4.5,90,20,medium
Porridge with honey,Australian breakfast & brunch,succeeded,,1 bowl (~350g),350,260,7.5,47,4.5,3,150,18,medium
Granola with yoghurt,Australian breakfast & brunch,succeeded,,1 serve (~220g),220,350,12.5,42,14.5,4.5,90,22,medium
Banana bread,Australian breakfast & brunch,succeeded,,1 slice (~80g),80,260,4,38,10.5,1.5,220,22,medium
Banana bread with butter,Australian breakfast & brunch,succeeded,,1 slice with butter (~90g),90,300,4.5,40,14,1.5,250,24,medium
Eggs on toast,Australian breakfast & brunch,succeeded,,2 eggs on 2 slices of toast (~180g),180,400,19,32,22,3,620,3.5,medium
Baked beans on toast,Australian breakfast & brunch,succeeded,,"1 serve (2 slices toast + 1 cup beans, ~350g)",350,420,16.5,62,10.5,9.5,1150,15,high
Toast with vegemite,Australian breakfast & brunch,succeeded,,2 slices toast with Vegemite (~70g),70,200,7.5,30,6,2.5,780,3,high
Vegemite on toast,Australian breakfast & brunch,succeeded,,2 slices toast with Vegemite (~70g),70,200,7,28,6.5,2.5,780,2.5,high
Crumpets with butter,Australian breakfast & brunch,succeeded,,2 crumpets with butter (~110g),110,290,6.5,44,9.5,2,480,3,medium
English muffin with jam,Australian breakfast & brunch,succeeded,,1 muffin with jam (~85g),85,220,5.5,43,2.5,2,380,14,medium
Weet-Bix with milk,Australian breakfast & brunch,succeeded,,2 biscuits with 125ml milk (~170g),170,190,8.9,26.5,4.5,3.8,130,9.5,high
Cornflakes with milk,Australian breakfast & brunch,succeeded,,1 bowl (~40g cornflakes + 150ml milk),190,220,8.5,38,4.5,1.2,330,12,high
Bacon and egg roll,Australian breakfast & brunch,succeeded,,1 roll (~180g),180,480,22,38,27,2,950,5,medium
Breakfast burrito,Australian breakfast & brunch,succeeded,,1 burrito (~280g),280,570,24,45,32,3.5,980,3,medium
Smoothie bowl,Australian breakfast & brunch,succeeded,LOW_CONFIDENCE,1 bowl (~450g),450,420,9.5,75,11,9,60,48,low
Acai bowl,Australian breakfast & brunch,succeeded,LOW_CONFIDENCE,1 bowl (~450g),450,480,8,78,16,9,60,45,low
Chia pudding,Australian breakfast & brunch,succeeded,,1 serve (~250g),250,260,8,22,16,12,60,15,medium
Yoghurt with berries,Australian breakfast & brunch,succeeded,,1 serve (~200g),200,170,8.5,20,5.5,2.5,75,17,medium
Fruit salad,Australian breakfast & brunch,succeeded,,1 serve (~200g),200,90,1.2,20,0.3,2.8,5,18,medium
Hash browns,Australian breakfast & brunch,succeeded,,2 pieces (~120g),120,280,3,28,18,2.5,400,0.8,medium
Corn fritters,Australian breakfast & brunch,succeeded,,3 fritters (~210g),210,420,12.5,38,24,3.5,620,6,medium
Shakshuka,Australian breakfast & brunch,succeeded,,1 serve (~350g),350,320,15,18,21,5,780,10,medium
Omelette,Australian breakfast & brunch,succeeded,,"1 serve, 3-egg omelette (~150g)",150,260,18.5,1.5,20.5,0.1,380,1,medium
Cheese omelette,Australian breakfast & brunch,succeeded,,"1 serve (2-3 eggs, ~150g)",150,310,21.5,1.5,24.5,0,480,1,medium
Ham and cheese omelette,Australian breakfast & brunch,succeeded,,"1 serve (~220g, 3 eggs)",220,420,29,2.5,32,0.1,880,1,medium
Bacon and egg muffin,Australian breakfast & brunch,succeeded,,1 muffin (~150g),150,380,19,28,21,1.5,820,4,medium
Sausage and egg muffin,Australian breakfast & brunch,succeeded,,1 muffin (~140g),140,400,17,30,24,1.5,830,4,high
Breakfast wrap,Australian breakfast & brunch,succeeded,,1 wrap (~250g),250,520,22,40,30,3,900,4,medium
Egg and bacon sandwich,Australian breakfast & brunch,succeeded,,1 sandwich (~180g),180,460,22,34,26,2,890,5,medium
Toasted banana bread,Australian breakfast & brunch,succeeded,,"1 slice, toasted with butter (~90g)",90,280,4.5,40,12,1.8,260,22,medium
Croissant with jam,Australian breakfast & brunch,succeeded,,1 croissant with jam (~70g croissant + 20g jam),90,320,6,38,16,1.5,340,15,medium
Pain au chocolat,Australian breakfast & brunch,succeeded,,1 pastry (~70g),70,290,5.5,28,17.5,1.5,220,9.5,high
Danish pastry,Australian breakfast & brunch,succeeded,,1 pastry (~85g),85,340,5.5,38,18.5,1.2,280,15,medium
Raisin toast,Australian breakfast & brunch,succeeded,,2 slices (~80g bread + butter),90,260,6,40,9,2.5,300,14,medium
Fruit toast,Australian breakfast & brunch,succeeded,,2 slices (~80g),80,210,5.5,38,3,3.2,220,15,medium
Breakfast bruschetta,Australian breakfast & brunch,succeeded,,"1 serve (2 slices, ~300g)",300,420,14,42,22,4.5,620,6,medium
Poached eggs with spinach,Australian breakfast & brunch,succeeded,,"1 serve (2 eggs with spinach, ~220g)",220,220,16.5,4,15,2.5,380,1,medium
Eggs florentine,Australian breakfast & brunch,succeeded,,"1 serve (2 poached eggs, English muffin, spinach, hollandaise, ~350g)",350,520,20.5,30,35,3.5,780,4,medium
Waffle with syrup,Australian breakfast & brunch,succeeded,,"1 serve (2 waffles with syrup, ~150g)",150,420,7.5,62,15,1.5,480,32,medium
Belgian waffle,Australian breakfast & brunch,succeeded,,1 waffle with toppings (~150g),150,420,7.5,55,19,1.5,480,25,medium
